
リグル＝ナイトバグ
キック(命中),                             スーパーキック
                                          実弾発射 Anime\Bullet\EFFECT_EPS_Bullet(Red)05.bmp -.wav 残像;実弾発射 Anime\Bullet\EFFECT_EPS_Bullet(Red)05.bmp -.wav 残像
御射山御狩神事(命中),                     連突 赤
お天水の奇跡(攻撃),                       発射連続描画 エフェクト画像=ビームコート連続描画(ライトブルー) 48 5 1 前面 BeamCoat.wav
お天水の奇跡(命中),                       内蔵チェーンガン 赤 Explode.wav
お天水の奇跡(命中),                       内蔵チェーンガン 黄 Explode.wav
お天水の奇跡(命中),                       内蔵チェーンガン 緑 Explode.wav
お天水の奇跡(命中),                       内蔵チェーンガン 青 Explode.wav
お天水の奇跡(命中),                       内蔵チェーンガン 紫 Explode.wav
マウンテン･オブ･フェイス(攻撃),           連続描画 エフェクト画像=発光連続描画(赤) 24 4 1 前面 Whiz.wav;連続描画 エフェクト画像=発光連続描画(赤) 40 6 1 前面 Whiz.wav;_
                                          連続描画 エフェクト画像=発光連続描画(紫) 64 6 1 前面 Whiz.wav;連続描画 エフェクト画像=発光連続描画(青) 96 8 1 前面 Whiz.wav
マウンテン･オブ･フェイス(命中),           必殺光線 赤
マウンテン･オブ･フェイス(命中),           必殺光線 紫
マウンテン･オブ･フェイス(命中),           必殺光線 青
水眼の如き美しき源泉(攻撃),               全拡散ビーム 青 LaserGun.wav
水眼の如き美しき源泉(命中),               拡散ビーム 青
神が歩かれた御神渡り(攻撃),               交差ビーム 青 白 Whiz.wav チャージなし
神が歩かれた御神渡り(命中),               交差ビーム 青 白
#
### 洩矢諏訪子
#
二拝二拍一拝(攻撃),                       小ビーム 水色 チャージなし;小ビーム 赤 チャージなし;_
                                          実弾発射 武器画像=ＳＴＧ弾３(青) Whip.wav;実弾発射 武器画像=ＳＴＧ弾３(青) Whip.wav;２連小ビーム 赤 チャージなし
二拝二拍一拝(命中),                       点打 青 Explode.wav
手長足長さま(攻撃),                       拡散ビーム 赤;拡散ビーム 緑 チャージなし
手長足長さま(命中),                       拡散ビーム 赤;拡散ビーム 緑
洩矢の鉄の輪,                             チャクラム
厭い川の翡翠(攻撃),                       実弾発射 Anime\Beam\EFFECT_2Beam(Green)04.bmp Whiz.wav 遅 残像
厭い川の翡翠(命中),                       点打 緑 Explode.wav
蛙は口ゆえ蛇に呑まるる(攻撃),             周囲回転 Anime\Ice\EFFECT_Blizzard(LightBlue)04.bmp Beamvalcan.wav 3 対象ユニットＩＤ
蛙は口ゆえ蛇に呑まるる(命中),             吹雪 水色 Beamvalcan.wav
七つの石と七つの木(攻撃),                 平行弾幕 画像ファイル=Anime\Explode\EFFECT_BigExplodeA(Red)06.bmp=Anime\Explode\EFFECT_BigExplodeA(Orange)06.bmp=Anime\Explode\EFFECT_BigExplodeA(Yellow)06.bmp=Anime\Explode\EFFECT_BigExplodeA(Green)06.bmp=Anime\Explode\EFFECT_BigExplodeA(LightBlue)06.bmp=Anime\Explode\EFFECT_BigExplodeA(Purple)06.bmp=Anime\Explode\EFFECT_BigExplodeA(Pink)06.bmp 72 個数=7 回数=1 Beam.wav;_
                                          拡散弾幕 画像ファイル=Bullet\EFFECT_STG_Bullet(Red)05.bmp=Bullet\EFFECT_STG_Bullet(Orange)05.bmp=Bullet\EFFECT_STG_Bullet(Yellow)05.bmp=Bullet\EFFECT_STG_Bullet(Green)05.bmp=Bullet\EFFECT_STG_Bullet(LightBlue)05.bmp=Bullet\EFFECT_STG_Bullet(Purple)05.bmp=Bullet\EFFECT_STG_Bullet(Pink)05.bmp 32 個数=7 回数=3 Cannon.wav
七つの石と七つの木(命中),                 点打 赤 Explode.wav
ケロちゃん風雨に負けず(攻撃),             拡散ビーム 青 Splash.wav;実弾発射 Anime\Common\EFFECT_Particle(LightBlue)01.bmp -.wav;_
                                          実弾発射 Anime\Common\EFFECT_Particle(LightBlue)01.bmp -.wav
ケロちゃん風雨に負けず(命中),             拡散ビーム 青
宝永四年の赤蛙(攻撃),                     スーパータックル 赤
宝永四年の赤蛙(命中),                     スーパータックル 赤;スーパータックル 赤
ミシャグジさま(攻撃),                     周囲回転 Anime\Beam\EFFECT_2MBeam(Green)04.bmp Breath.wav 3 対象ユニットＩＤ;_
                                          実弾発射 Anime\Beam\EFFECT_2MBeam(Green)04.bmp Fold.wav;実弾発射 Anime\Beam\EFFECT_2MBeam(Green)04.bmp -.wav;実弾発射 Anime\Beam\EFFECT_2MBeam(Green)04.bmp -.wav
ミシャグジさま(命中),                     点打 緑 Inori.wav
#
### 永江衣玖
#
羽衣は水の如く(攻撃),                     斬撃
羽衣は水の如く(命中),                     ビームサーベル 青
静電誘導弾,                               球電
龍神の怒り(攻撃),                         瞬間変形 EPS_NagaeIku(fever)U.bmp;発光 青 BeamCoat.wav 対象ユニットＩＤ
龍神の怒り(命中),                         落雷 青
龍魚の一撃(攻撃),                         打撃突撃
龍魚の一撃(命中),                         スーパーパンチ 白 Drill.wav
龍の光る眼(攻撃),                         回転発射 Anime\Beam\EFFECT_2MBeam(Blue)03.bmp 72 Thunder.wav
龍の光る眼(命中),                         放電 Whip.wav
神鳴り様の住処(攻撃),                     瞬間変形 EPS_NagaeIku(fever)U.bmp;発光 青 BeamCoat.wav 対象ユニットＩＤ
神鳴り様の住処(命中),                     連続描画 エフェクト画像=落雷連続描画(青) 長方形サイズ=32=64 3 3 前面 Thunder.wav;放電
雷雲棘魚(攻撃),                           連続描画 Anime\Common\EFFECT_LargeElectric(Blue)[01-01].bmp 64 8 1 背面 Thunder.wav
雷雲棘魚(命中),                           放電 Whip.wav
玄雲海の雷庭(攻撃),                       粒子集中 青 Whiz.wav 対象ユニットＩＤ;連続描画 Anime\Common\EFFECT_LargeElectric(Blue)[01-01].bmp 64 8 1 背面 Thunder.wav
玄雲海の雷庭(命中),                       包囲ビーム 青 Thunder.wav;包囲ビーム 青 Thunder.wav
#
### 比那名居天子
#
シールド防御(天罰の石柱),                 巨岩落下 白
緋想の剣(準備),                           振る武器 EFFECT_EPS_HisounoTsurugi.bmp
非想の威光,                               ビームショットガン 赤 EFFECT_EPS_Kanameishi.bmp 32
非想の剣(準備),                           振る武器 EFFECT_EPS_HisounoTsurugi.bmp
非想の剣(攻撃),                           なぎ払い;振り上げ;斬撃
非想の剣(命中),                           連斬撃
坤儀の剣(攻撃),                           地面衝撃 白 Shock(Low).wav
坤儀の剣(命中),                           アッパー
天空の霊石(準備),                         射撃武器 EFFECT_EPS_Kanameishi.bmp Swing.wav
天空の霊石(攻撃),                         実弾発射 EFFECT_EPS_Kanameishi.bmp;実弾発射 EFFECT_EPS_Kanameishi.bmp
天空の霊石(命中),                         強打
荒々しくも母なる大地よ(攻撃),             急降下;地面衝撃;ＭＡＰ石柱 Shock(Low).wav
荒々しくも母なる大地よ(命中),             アッパー
大地を鎮める石(準備),                     射撃武器 EFFECT_EPS_Kanameishi.bmp Whiz.wav
大地を鎮める石(攻撃),                     実弾発射 EFFECT_EPS_Kanameishi.bmp;実弾発射 EFFECT_EPS_Kanameishi.bmp;全拡散ビーム 赤 Beam.wav
大地を鎮める石(命中),                     強打;強打;拡散ビーム 赤
世界を見下ろす大地よ(解説),               $(ユニット)は世界を見下ろす遥かなる大地よで攻撃をかけた。
世界を見下ろす大地よ(攻撃),               急降下;地面衝撃;ＭＡＰ石柱 Shock(Low).wav;ＭＡＰ気弾 赤 残像
世界を見下ろす大地よ(命中),               飛沫 赤 Explode.wav
緋色の光(攻撃),                           ＭＡＰビーム 赤
緋色の光(命中),                           拡散ビーム 赤
緋色の雨,                                 全拡散ビーム 赤 Beam.wav
全人類の緋想天(攻撃),                     ＭＡＰビーム 赤 Breath.wav
全人類の緋想天(命中),                     飛沫 赤 Explode(Far).wav
#
### キスメ
#
釣瓶落としの怪(攻撃),                     中ビーム 桃
釣瓶落としの怪(命中),                     中ビーム 桃
#
### 黒谷ヤマメ
#
回転弾(攻撃),                             ４ＷＡＹ射出
回転弾(命中),                             重機関砲
キャプチャーウェブ(攻撃),                 ニードルレーザー連射 桃 AntiAirMissile.wav
キャプチャーウェブ(命中),                 ニードルレーザー連射 桃 Whip.wav
石窟の蜘蛛の巣(攻撃),                     触手 桃 AntiAirMissile.wav
石窟の蜘蛛の巣(命中),                     触手 桃 Whip.wav
フィルドミアズマ(攻撃),                   発光 赤 Fold.wav
フィルドミアズマ(命中),                   発光 赤 Inori.wav
原因不明の熱病(攻撃),                     発光 赤 Fold.wav
原因不明の熱病(命中),                     発光 赤 Inori.wav
#
### 水橋パルスィ
#
渦巻弾(攻撃),                             周囲回転 Anime\Bullet\EFFECT_AuraBall(Blue)01.bmp Beamvalcan.wav 3 対象ユニットＩＤ
渦巻弾(命中),                             内蔵チェーンガン 青 Explode.wav
グリーンアイドモンスター(攻撃),           ホーミングレーザー弾幕 Beamvalcan.wav 緑 個数=1 速
グリーンアイドモンスター(命中),           点打 緑 Explode.wav
シロの灰(攻撃),                           実弾発射 Anime\Bullet\EFFECT_STG_Bullet(Green)03.bmp Cannon.wav;_
                                          実弾発射 Anime\Common\EFFECT_Shine(Pink)04.bmp -.wav 残像
シロの灰(命中),                           バラ吹雪 Inori.wav
当て身技(大きな葛籠と小さな葛籠),         ダミー Slap.wav "大きな葛籠と小さな葛籠"
大きな葛籠と小さな葛籠(攻撃),             実弾発射 Anime\Bullet\EFFECT_STG_Bullet(Green)03.bmp Cannon.wav
大きな葛籠と小さな葛籠(命中),             点打 緑 Explode.wav
丑の刻参り七日目(攻撃),                   ４ＷＡＹ射出;３ＷＡＹ射出
丑の刻参り七日目(命中),                   飛沫 水色 Inori.wav
#
### 星熊勇儀
#
攻撃無効化(地獄の苦輪),                   反射 BeamSaber.wav "地獄の苦輪"
鬼の拳(攻撃),                             打突
鬼の拳(命中),                             強打
怪力乱神(攻撃),                           発光 桃 Bazooka.wav 対象ユニットＩＤ;発光 赤 -.wav 対象ユニットＩＤ
怪力乱神(命中),                           超打 Crash.wav
咎人の外さぬ枷(攻撃),                     実弾発射 Anime\Barrier\EFFECT_Reflection01.bmp BeamSaber.wav
咎人の外さぬ枷(命中),                     点打 青 Whip.wav
大江山嵐,                                 旋風 青
三歩必殺(攻撃),                           発光 赤 Bazooka.wav 対象ユニットＩＤ;10;発光 桃 Bazooka.wav 対象ユニットＩＤ;10;_
                                          @東方ホワイトイン 50 Explode(Nuclear).wav
三歩必殺(命中),                           超斬撃 Shock(Low).wav
#
### 古明地さとり
#
テリブルスーヴニール(攻撃),               持続ビーム 赤 BeamSaber.wav チャージなし;持続ビーム 赤 -.wav チャージなし;_
                                          持続ビーム 赤 -.wav チャージなし
テリブルスーヴニール(命中),               小ビーム 赤
恐怖催眠術(攻撃),                         持続ビーム 赤 BeamSaber.wav チャージなし;持続ビーム 赤 -.wav チャージなし;_
                                          持続ビーム 赤 -.wav チャージなし;持続ビーム 赤 BeamSaber.wav チャージなし;_
                                          持続ビーム 赤 -.wav チャージなし;持続ビーム 赤 -.wav チャージなし
恐怖催眠術(命中),                         小ビーム 赤
恐怖の記憶(攻撃),                         フラッシュ 黒 FlyBy.wav
恐怖の記憶(命中),                         飛沫 黒 Inori.wav
#
### 火焔猫燐
#
無数の怨霊(攻撃),                         炎投射 青
無数の怨霊(命中),                         ベアリング
キャッツウォーク(攻撃),                   タックル
キャッツウォーク(命中),                   刺突 白
怨霊猫乱歩(攻撃),                         スーパータックル 白
怨霊猫乱歩(命中),                         連突 白
ゾンビフェアリー(準備),                   発光 青 -.wav;召喚 EPS_ZombieFairyU.bmp 32 -.wav
ゾンビフェアリー(攻撃),                   実弾発射 EPS_ZombieFairyU.bmp 32 発光 Whiz.wav 速
ゾンビフェアリー(命中),                   オールレンジ
スプリーンイーター(攻撃),                 @戦闘アニメ_粒子集中命中 青 Whiz.wav
スプリーンイーター(命中),                 魔法放射 青 中 Whip.wav
食人怨霊(攻撃),                           @戦闘アニメ_粒子集中命中 赤 Whiz.wav
食人怨霊(命中),                           魔法放射 赤 中 Whip.wav
旧地獄の針山,                             ニードル連射
昔時の針と痛がる怨霊(攻撃),               回転発射 Anime\BodyParts\EFFECT_CellWall(White)05.bmp Swing.wav 速;_
                                          ニードル連射;ニードル連射
昔時の針と痛がる怨霊(命中),               飛沫 白 Explode.wav;ニードル連射
死灰復燃(準備),                           炎 青 Breath.wav;フラッシュ 青 Charge.wav;召喚 EPS_ZombieFairyU.bmp 32 -.wav
死灰復燃(攻撃),                           実弾発射 EPS_ZombieFairyU.bmp 32 発光 Whiz.wav 速;実弾発射 EPS_ZombieFairyU.bmp 32 発光 Whiz.wav 速;_
                                          実弾発射 EPS_ZombieFairyU.bmp 32 発光 Whiz.wav 速;実弾発射 EPS_ZombieFairyU.bmp 32 発光 Whiz.wav 速
死灰復燃(命中),                           オールレンジ;連続爆発;連続爆発
火焔の車輪(攻撃),                         回転発射 Anime\Bullet\EFFECT_BeamRingCutter(Red)01.bmp Fire.wav;_
                                          回転発射 Anime\Bullet\EFFECT_BeamRingCutter(Blue)01.bmp Fire.wav
火焔の車輪(命中),                         炎 赤;炎 青
#
### 霊烏路空
#
ニュークリアフュージョン(準備),           音再生 Alarm.wav
ニュークリアフュージョン(攻撃),           実弾発射 Anime\Bullet\EFFECT_STG_Bullet(Red)03.bmp 96 Warship.wav
ニュークリアフュージョン(命中),           超爆発
Ｎ・エクスカーション(解説),               $(ユニット)はニュークリアエクスカーションで攻撃をかけた。
Ｎ・エクスカーション(準備),               音再生 Alarm.wav
Ｎ・エクスカーション(攻撃),               実弾発射 Anime\Bullet\EFFECT_STG_Bullet(Red)03.bmp 120 Warship.wav
Ｎ・エクスカーション(命中),               超爆発
メガフレア(準備),                         音再生 Alarm.wav
メガフレア(攻撃),                         ＭＡＰ光球 赤 Warship.wav
メガフレア(命中),                         大爆発
ギガフレア(準備),                         音再生 Alarm.wav
ギガフレア(攻撃),                         ＭＡＰ光球 赤 Warship.wav;ＭＡＰ光球 赤 Warship.wav
ギガフレア(命中),                         大爆発
フィクストスター(準備),                   音再生 Alarm.wav
フィクストスター(攻撃),                   周囲回転 Anime\Beam2\EFFECT_GiantBeamHit(Red)00.bmp Warship.wav 3 対象ユニットＩＤ
フィクストスター(命中),                   大爆発
Ｐ・レボリューション(解説),               $(ユニット)はプラネタリーレボリューションで攻撃をかけた。
Ｐ・レボリューション(準備),               音再生 Alarm.wav
Ｐ・レボリューション(攻撃),               ＭＡＰ超爆発 赤
Ｐ・レボリューション(命中),               大爆発
ヘルズトカマク(準備),                     周囲回転 Anime\Beam\EFFECT_MBeam(Red)03.bmp Alarm.wav 2
ヘルズトカマク(攻撃),                     周囲回転 Anime\Beam2\EFFECT_GiantBeamHit(Red)00.bmp Warship.wav 2 相手ユニットＩＤ
ヘルズトカマク(命中),                     超爆発 Explode(Nuclear).wav
サブタレイニアンサン(準備),               粒子集中 赤 Alarm.wav;瞬間変形 Anime\Bullet\EFFECT_STG_Bullet(Red)03.bmp;_
                                          魔法放射 赤 大 -.wav
サブタレイニアンサン(攻撃),               ＭＡＰオーラ 赤 Explode(Nuclear).wav
サブタレイニアンサン(命中),               超爆発
#
### 古明地こいし
#
夢枕にご先祖総立ち(攻撃),                 実弾発射 Anime\Beam\EFFECT_DBeamHit(Blue)03.bmp LaserGun.wav 残像
夢枕にご先祖総立ち(命中),                 拡散ビーム 青
弾幕パラノイア(攻撃),                     @戦闘アニメ_泡命中 桃 Applause.wav
弾幕パラノイア(命中),                     点打 青 Explode.wav
イドの解放(攻撃),                         実弾発射 Anime\Bullet\EFFECT_HeartBullet(Pink)01.bmp Cannon.wav;_
                                          実弾発射 Anime\Bullet\EFFECT_HeartBullet(Pink)01.bmp Cannon.wav;_
                                          実弾発射 Anime\Bullet\EFFECT_HeartBullet(Pink)01.bmp Cannon.wav
イドの解放(命中),                         点打 桃 Explode.wav
スーパーエゴ(攻撃),                       実弾発射 Anime\Bullet\EFFECT_HeartBullet(LightBlue)01.bmp Cannon.wav 相手ユニットＩＤ;_
                                          実弾発射 Anime\Bullet\EFFECT_HeartBullet(LightBlue)01.bmp Cannon.wav 相手ユニットＩＤ;_
                                          実弾発射 Anime\Bullet\EFFECT_HeartBullet(LightBlue)01.bmp Cannon.wav 相手ユニットＩＤ
スーパーエゴ(命中),                       点打 水色 Explode.wav
妖怪ポリグラフ(攻撃),                     ＭＡＰビーム 赤 BeamSaber.wav
妖怪ポリグラフ(命中),                     点打 赤 Explode.wav
妖怪ポリグラフ(命中),                     点打 青 Explode.wav
弾幕のロールシャッハ(攻撃),               連続描画 Anime\Barrier\EFFECT_Reflection(Blue)[01-03].bmp 32 3 1 Beamvalcan.wav;_
                                          連続描画 Anime\Barrier\EFFECT_Reflection(Blue)[01-03].bmp 32 3 1 -.wav 左右反転
弾幕のロールシャッハ(攻撃),               連続描画 Anime\Barrier\EFFECT_Reflection(Green)[01-03].bmp 32 3 1 Beamvalcan.wav 上下反転;_
                                          連続描画 Anime\Barrier\EFFECT_Reflection(Green)[01-03].bmp 32 3 1 -.wav 左右反転 上下反転
弾幕のロールシャッハ(攻撃),               連続描画 Anime\Barrier\EFFECT_Reflection(Pink)[01-03].bmp 32 3 1 Beamvalcan.wav;_
                                          連続描画 Anime\Barrier\EFFECT_Reflection(Pink)[01-03].bmp 32 3 1 -.wav 上下反転
弾幕のロールシャッハ(命中),               点打 青 Explode.wav
弾幕のロールシャッハ(命中),               点打 緑 Explode.wav
弾幕のロールシャッハ(命中),               点打 桃 Explode.wav
恋の埋火(攻撃),                           実弾発射 Anime\Bullet\EFFECT_HeartBullet(Pink)01.bmp Cannon.wav 残像
恋の埋火(命中),                           点打 桃 Explode.wav
無意識の遺伝子,                           スーパータックル 緑
無意識の遺伝子,                           スーパータックル 青
嫌われ者のフィロソフィ(攻撃),             フラッシュ 黒 Alarm.wav
嫌われ者のフィロソフィ(命中),             発光 青 Stab.wav
嫌われ者のフィロソフィ(命中),             発光 緑 Stab.wav
嫌われ者のフィロソフィ(命中),             発光 赤 Stab.wav
サブタレイニアンローズ(攻撃),             ＭＡＰ持続ビーム 青 チャージなし;ＭＡＰ持続ビーム 赤 チャージなし
サブタレイニアンローズ(命中),             発光 青 Stab.wav
サブタレイニアンローズ(命中),             発光 赤 Stab.wav
#
### ナズーリン
#
シールド防御(ペンデュラムガード),         結界 青 Hittyuu.wav "ペンデュラムガード"
ビジーロッド,                             ２連小ビーム 青
レアメタルディテクター(攻撃),             拡散ビーム 水色
レアメタルディテクター(命中),             内蔵チェーンガン 水色 MachineCannon.wav
ゴールドディテクター(攻撃),               拡散ビーム 黄
ゴールドディテクター(命中),               内蔵チェーンガン 黄 MachineCannon.wav
ナズーリンペンデュラム(攻撃),             周囲回転 Anime\Common\EFFECT_IceBurg01.bmp Hittyuu.wav 3 対象ユニットＩＤ
ナズーリンペンデュラム(命中),             内蔵チェーンガン 青 Explode.wav
グレイテストトレジャー(攻撃),             中ビーム 青 BeamGun.wav
グレイテストトレジャー(命中),             中ビーム 青
#
### 多々良小傘
#
シールド防御(パラソルスターシンフォニー), 唐傘防御 Swing.wav "パラソルスターシンフォニー"
からかさ後光(攻撃),                       白兵回転
からかさ後光(命中),                       内蔵チェーンガン 桃 Beamvalcan.wav
雨夜の怪談(攻撃),                         実弾発射 武器画像=ＳＴＧ弾４(水色) 16 Shower.wav 残像;実弾発射 武器画像=ＳＴＧ弾４(水色) 16 -.wav 残像
雨夜の怪談(命中),                         飛沫 水色 Splash.wav
超撥水かさかさお化け(攻撃),               大拡散ビーム 水色 Splash.wav
超撥水かさかさお化け(命中),               飛沫 水色 Splash.wav
忘れ傘の夜行列車(攻撃),                   実弾発射 武器画像=唐傘防御 Missile.wav 残像
忘れ傘の夜行列車(命中),                   点打 水色 Punch(3).wav
置き傘特急Ｎカーニバル(解説),             $(ユニット)は置き傘特急ナイトカーニバルで攻撃をかけた。
置き傘特急Ｎカーニバル(攻撃),             実弾発射 武器画像=唐傘防御 Missile.wav 残像
置き傘特急Ｎカーニバル(命中),             点打 水色 Punch(3).wav
大粒の涙雨(攻撃),                         実弾発射 武器画像=ＳＴＧ弾５(水色) Shower.wav 残像;実弾発射 武器画像=ＳＴＧ弾５(水色) -.wav 残像
大粒の涙雨(命中),                         飛沫 水色 Splash.wav
ゲリラ台風(攻撃),                         竜巻 水色 Whiz.wav
ゲリラ台風(命中),                         竜巻 水色 Storm.wav
からかさ驚きフラッシュ(攻撃),             全拡散ビーム 白 LaserGun.wav チャージなし
からかさ驚きフラッシュ(命中),             全拡散ビーム 白
#
### 雲居一輪
#
問答無用の妖怪拳(準備),                   突く武器 武器画像=ナックルパンチ(ピンク) 80 Bazooka.wav
問答無用の妖怪拳(攻撃),                   実弾発射 武器画像=ナックルパンチ(ピンク) 80 Cannon.wav
問答無用の妖怪拳(命中),                   強打
雲上地獄突き(準備),                       突く武器 武器画像=ダブルナックルパンチ(ピンク) 80 Bazooka.wav
雲上地獄突き(攻撃),                       実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 Cannon.wav
雲上地獄突き(命中),                       強打;強打
天網サンドバッグ(準備),                   突く武器 武器画像=ダブルナックルパンチ(ピンク) 80 Bazooka.wav
天網サンドバッグ(攻撃),                   実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 Cannon.wav
天網サンドバッグ(命中),                   連打
雲界クラーケン殴り(準備),                 突く武器 武器画像=ダブルナックルパンチ(ピンク) 80 Bazooka.wav
雲界クラーケン殴り(攻撃),                 実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 FastGun.wav;実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 -.wav;_
                                            実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 -.wav
雲界クラーケン殴り(命中),                 乱打
げんこつスマッシュ(準備),                 突く武器 武器画像=ダブルナックルパンチ(ピンク) 80 Bazooka.wav
げんこつスマッシュ(攻撃),                 実弾発射 武器画像=ダブルナックルパンチ(ピンク) 80 Cannon.wav
げんこつスマッシュ(命中),                 打撃 Crash.wav
天上天下連続フック(準備),                 突く武器 武器画像=ナックルパンチ(ピンク) 80 Bazooka.wav
天上天下連続フック(攻撃),                 実弾発射 武器画像=ナックルパンチ(ピンク) 80 FastGun.wav;実弾発射 武器画像=ナックルパンチ(ピンク) 80 -.wav;_
                                            実弾発射 武器画像=ナックルパンチ(ピンク) 80 -.wav;実弾発射 武器画像=ナックルパンチ(ピンク) 80 -.wav
天上天下連続フック(命中),                 連打 Crash.wav
時代親父大目玉,                           大拡散ビーム 桃
天変大目玉焼き,                           大拡散ビーム 桃
#
### 村紗水蜜
#
テレポート(シンカーゴースト),             @戦闘アニメ_分身攻撃 BeamSaber(3).wav
道連れアンカー(準備),                     大錨 BeamSaber.wav
道連れアンカー(攻撃),                     斬撃
道連れアンカー(命中),                     斬撃 FightHit(1).wav
沈没アンカー(準備),                       大錨 BeamSaber.wav
沈没アンカー(攻撃),                       斬撃
沈没アンカー(命中),                       大斬撃 青 FightHit(1).wav
撃沈アンカー(準備),                       大錨 BeamSaber.wav
撃沈アンカー(攻撃),                       斬撃
撃沈アンカー(命中),                       超斬撃 青 FightHit(1).wav
ディープヴォーテックス(攻撃),             なぎ払い
ディープヴォーテックス(命中),             粒子集中 水色 Splash.wav
シンカブルヴォーテックス(攻撃),           なぎ払い
シンカブルヴォーテックス(命中),           粒子集中 水色 Splash.wav
ファントムシップハーバー(準備),           大錨 BeamSaber.wav
ファントムシップハーバー(攻撃),           大錨 Interference.wav
ファントムシップハーバー(命中),           打撃 FightHit(1).wav
幽霊船の港(準備),                         大錨 BeamSaber.wav
幽霊船の港(攻撃),                         大錨 Interference.wav
幽霊船の港(命中),                         強打 FightHit(1).wav
幽霊船永久停泊(準備),                     大錨 BeamSaber.wav
幽霊船永久停泊(攻撃),                     大錨投擲 Interference.wav
幽霊船永久停泊(命中),                     強打 FightHit(1).wav
忍び寄る柄杓(攻撃),                       分身 BeamSaber(3).wav
忍び寄る柄杓(命中),                       飛沫 水色 Splash.wav
#
### 寅丸星
#
レイディアントトレジャー(攻撃),           超ビーム 青 BeamGun.wav
レイディアントトレジャー(命中),           超ビーム 青
Ａ・ジャスティス(解説),                   $(ユニット)はアブソリュートジャスティスで攻撃をかけた。
Ａ・ジャスティス(攻撃),                   大拡散ビーム 青 BeamGun.wav
Ａ・ジャスティス(命中),                   拡散ビーム 青
正義の威光(攻撃),                         ＭＡＰビーム 青 BeamGun.wav
正義の威光(命中),                         拡散ビーム 青
至宝の独鈷杵(準備),                       突く武器 武器画像=ツインビームサーベル(グリーン) 96 発光 BeamSaber.wav
至宝の独鈷杵(攻撃),                       振り回し 武器画像=ツインビームサーベル(グリーン) 96 発光
至宝の独鈷杵(命中),                       回転ビームサーベル 緑
隙間無い法の独鈷杵(準備),                 突く武器 武器画像=ツインビームサーベル(グリーン) 96 発光 BeamSaber.wav
隙間無い法の独鈷杵(攻撃),                 振り回し 武器画像=ツインビームサーベル(グリーン) 96 発光 二刀流
隙間無い法の独鈷杵(命中),                 回転ビームサーベル 緑 二刀流;回転ビームサーベル 緑 二刀流
浄化の魔(攻撃),                           大拡散ビーム 黄 BeamGun.wav
浄化の魔(命中),                           大拡散ビーム 黄
#
### 聖白蓮
#
紫雲のオーメン(攻撃),                     実弾発射 Anime\Common\EFFECT_Particle(Purple)02.bmp LaserGun.wav 発光
紫雲のオーメン(命中),                     飛沫 紫
紫の雲路(攻撃),                           実弾発射 Anime\Common\EFFECT_Particle(Purple)01.bmp LaserGun.wav 発光
紫の雲路(命中),                           飛沫 紫
マジックバタフライ(攻撃),                 全拡散ビーム 白 Beam.wav
マジックバタフライ(命中),                 全拡散ビーム 白
スターメイルシュトロム,                   ホーミングレーザー 黄
魔法銀河系(攻撃),                         旋風 黄 Beam.wav
魔法銀河系(命中),                         旋風 黄 Explode.wav
魔神復誦,                                 巨大ビーム 赤 電撃
聖尼公のエア巻物(攻撃),                   スーパータックル 青
聖尼公のエア巻物(命中),                   ベアリング
Ｆ・ファンタスティカ(解説),               $(ユニット)はフライングファンタスティカの呪文を唱えた。
Ｆ・ファンタスティカ(攻撃),               発光 青 Whiz.wav 対象ユニットＩＤ;発光 黄 Whiz.wav 対象ユニットＩＤ;_
                                          発光 水色 Whiz.wav 対象ユニットＩＤ;発光 赤 Whiz.wav 対象ユニットＩＤ
Ｆ・ファンタスティカ(命中),               魔法集中 青 中 Inori.wav
Ｆ・ファンタスティカ(命中),               魔法集中 黄 中 Inori.wav
Ｆ・ファンタスティカ(命中),               魔法集中 水色 中 Inori.wav
Ｆ・ファンタスティカ(命中),               魔法集中 赤 中 Inori.wav
#
### 封獣ぬえ
#
平安のダーククラウド(準備),               瞬間変形 Anime\Smoke\EFFECT_SmokeA(Black)01.bmp;煙 黒
平安のダーククラウド(攻撃),               拡散ビーム 黄
平安のダーククラウド(命中),               瞬間変形 対象ユニットＩＤ;拡散ビーム 黄
忿怒のレッドUFO襲来(準備),                マシンガン EPS_RedUFOU.bmp BeamSaber.wav
忿怒のレッドUFO襲来(攻撃),                マシンガン EPS_RedUFOU.bmp Beamvalcan.wav
忿怒のレッドUFO襲来(命中),                マシンガン
鵺的スネークショー(攻撃),                 実弾発射 Beam\EFFECT_HBeamHit(Green)02.bmp Bow.wav;実弾発射 Beam\EFFECT_HBeamHit(Green)02.bmp Bow.wav
鵺的スネークショー(命中),                 噛み付き
哀愁のブルーUFO襲来(準備),                レーザーマシンガン EPS_BlueUFOU.bmp 32 BeamSaber.wav
哀愁のブルーUFO襲来(攻撃),                レーザーマシンガン 青 EPS_BlueUFOU.bmp 32
哀愁のブルーUFO襲来(命中),                レーザーマシンガン 青
弾幕キメラ(攻撃),                         振り回し MapBeam\EFFECT_360Beam(Blue)07.bmp 96 Whiz.wav
