
#以下のアイコンは丸投げ画像パックに収録されているものを使用しています
#EFFECT_DMD_Aeon'sGun.bmp
#EFFECT_DMD_BowOfSirius.bmp
#EFFECT_DMD_Cthugha.bmp
#EFFECT_DMD_Ithaqua.bmp
#EFFECT_DMD_Liogor&Zhar.bmp
#EFFECT_DMD_LordByakhee'sRifle.bmp
#EFFECT_DMD_ScimitarOfBarzai(Open).bmp
#EFFECT_DMD_ScimitarOfBarzai(Spin).bmp
#EFFECT_DMD_ScimitarOfBarzai.bmp
#EFFECT_DMD_ShiningTrapezohedron.bmp
#EFFECT_DMD_SwordOfGoldCross(Extend).bmp
#EFFECT_DMD_SwordOfGoldCross.bmp

鬼械神
分身(ニトクリスの鏡), ダミー Glass.wav ニトクリスの鏡
必殺剣・羅刹(命中), なぎ払い Slash(4).wav;@戦闘アニメ_斬撃攻撃 二刀流;唐竹割り Shock(Low).wav;地面衝撃 -.wav;@戦闘アニメ_オーラ上昇準備 黄 Charge(High).wav;@戦闘アニメ_粒子集中準備 黄 -.wav;@戦闘アニメ_振る武器準備 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 BeamSaber(5).wav;@戦闘アニメ_突く武器急降下攻撃 "LightWeapon\EFFECT_LightGiantSword(Yellow)02.bmp" 80 AntiAirMissile.wav;0;会話 アンチクロス・ティトゥス "必殺剣――羅刹！" 固定;突く武器急降下 "LightWeapon\EFFECT_LightGiantSword(Yellow)01.bmp" 56 Glass.wav;超大爆発 黄 Explode(Nuclear).wav
剣舞・阿修羅(命中), 刺突 Slash(4).wav;@戦闘アニメ_四刀流準備 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav;MicroMissile.wav;@戦闘アニメ_斬撃乱舞攻撃 -.wav;@戦闘アニメ_乱突攻撃 -.wav;斬撃乱舞 Slash(4).wav;乱突 Stab.wav;_
会話 アンチクロス・ティトゥス "――ハァッ！ 御命頂戴！" 固定;@戦闘アニメ_四刀流突撃攻撃 "Weapon\EFFECT_Nodachi01.bmp" 40 AntiAirMissile.wav;大斬撃 二刀流 -.wav;超斬撃 Crash.wav
剣舞・阿修羅(命中), 刺突 Slash(4).wav;@戦闘アニメ_四刀流準備 "Weapon\EFFECT_Nodachi01.bmp" 40 Transform.wav;MicroMissile.wav;@戦闘アニメ_斬撃乱舞攻撃 -.wav;@戦闘アニメ_乱突攻撃 -.wav;斬撃乱舞 Slash(4).wav;乱突 Stab.wav;_
会話 アンチクロス・ティトゥス "その首、もらったァッ！" 固定;@戦闘アニメ_四刀流突撃攻撃 "Weapon\EFFECT_Nodachi01.bmp" 40 AntiAirMissile.wav;大斬撃 二刀流 -.wav;超斬撃 Crash.wav


スーパーウェスト無敵ロボ２８號スペシャル
Ｇ・クロスファイア, 小ビーム ブルー;キャノン砲 3;特殊光線 赤;機関砲

九朔専用鬼械神デモンベイン・トゥーソード
銃鳴葬送曲(攻撃), 別武器二丁拳銃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;_
会話 大十字九朔 "我、視線は敵を射抜き、.殺意は引き金を絞り" 固定;拡散ビームライフル 青 "Weapon\EFFECT_DMD_Ithaqua.bmp" 32;_
会話 大十字九朔 "我、視線は敵を射抜き、.殺意は引き金を絞り、魂は弾丸に宿る！" 固定;別武器二丁拳銃連射 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64
銃鳴葬送曲(命中), 点乱打 黄 Explode.wav;ビームレイン 青 Glass.wav;_
会話 大十字九朔 "<SIZE=8>　　　　　ブラストブリッツ・クライ×３</SIZE>.歌え、銃声の鎮魂歌！" 固定;_
@戦闘アニメ_別武器二丁拳銃乱射攻撃 画像ファイル="Weapon\EFFECT_DMD_Cthugha.bmp"="Weapon\EFFECT_DMD_Ithaqua.bmp"="ShootAnime\EFFECT_ChainGunShot(Red)01.bmp"="ShootAnime\EFFECT_ChainGunShot(Blue)01.bmp" 画像サイズ=32=32=64=64;連続大爆発 4 黄 Explode(High).wav;大爆発 黄 Explode(High).wav
#;点乱打 黄 Crash.wav;大爆発 黄 Explode(High).wav
剣聖銃神騎行曲(命中), 点乱打 黄 Crash.wav;_
会話 大十字九朔 "受けよ、剣聖の舞！" 固定;@戦闘アニメ_振る武器粒子集中召喚準備 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 二刀流 白;_
会話 大十字九朔 "斬魔！" 固定;@戦闘アニメ_左右別武器突撃攻撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 Swing(2).wav;横大斬撃 Slash(4).wav;_
会話 大十字九朔 "斬魔！ 破邪！" 固定;@戦闘アニメ_左右別武器突撃攻撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 Swing(2).wav;唐竹割り Slash(4).wav;_
会話 大十字九朔 "――天魔覆滅ッ！" 固定;二種突撃 "Weapon\EFFECT_Dagger01.bmp" 32 "Weapon\EFFECT_Sword01.bmp" 32 振り 斬撃

シュリュズベリイ＆ハヅキ専用鬼械神アンブロシウス
鏖殺の魔翼(命中), 大刺突 赤 FastGun.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;@戦闘アニメ_変形準備 Info(ユニットデータ,鬼械神アンブロシウス,グラフィック);@戦闘アニメ_エネルギー集束準備 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 ピンク;_
会話 セラエノ断章の精霊ハヅキ "<SIZE=8>　　　　　　 マキーナ</SIZE>.木っ端機械風情が……。消えろ！" 固定;@戦闘アニメ_実弾発射攻撃 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 Bazooka.wav;1;大爆発 ピンク Glass.wav
鏖殺の魔翼(命中), 大刺突 赤 FastGun.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;大刺突 赤 -.wav;@戦闘アニメ_変形準備 Info(ユニットデータ,鬼械神アンブロシウス,グラフィック);@戦闘アニメ_エネルギー集束準備 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 ピンク;_
会話 ラバン＝シュリュズベリイ(ＤＭＤ) "ホラーハンターの真髄、教授する！" 固定;_
会話 セラエノ断章の精霊ハヅキ "微塵と化して砕け散れ！" 固定;@戦闘アニメ_実弾発射攻撃 "Impact\EFFECT_ImpactBall(Pink)02.bmp" 28 Bazooka.wav;1;大爆発 ピンク Glass.wav
凶殺の魔爪(命中), センタリング;大斬撃 Slash(4).wav;_
会話 ラバン＝シュリュズベリイ(ＤＭＤ) "<SIZE=8>　　　　　 ウツロ</SIZE>.風は空虚な空を往く――" 固定;スーパータックル 青 Slash(4).wav;_
会話 セラエノ断章の精霊ハヅキ "声は絶えよ" 固定;スーパータックル 青 Slash(4).wav;_
会話 セラエノ断章の精霊ハヅキ "声は絶えよ、歌は消えよ！" 固定;スーパータックル乱舞 青 Slash(4).wav;_
会話 セラエノ断章の精霊ハヅキ "──涙は！" 固定;会話 ラバン＝シュリュズベリイ(ＤＭＤ) "流れぬまま枯れ果てよ！" 固定;@戦闘アニメ_大斬撃攻撃  Swing(2).wav;1;超斬撃 Crash.wav

鬼械神デモンベイン・ブラッド
攻撃無効化(防禦陣), 網目バリア 防禦陣 赤 BeamCoat.wav
格闘(命中), 爪撃 赤 二刀流 Slash.wav

鬼械神アイオーン(エドガー)
二刀偃月刀(準備), 振る武器粒子集中召喚 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 赤 青 二刀流 Breath.wav;2;@戦闘アニメ_斬撃攻撃 二刀流;振る武器 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 Reload(2).wav
二刀偃月刀(命中), @戦闘アニメ_振る武器突撃攻撃 "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 Swing.wav;凍斬撃 Ice.wav;1;@戦闘アニメ_振る武器突撃攻撃  "Weapon\EFFECT_DMD_ScimitarOfBarzai.bmp" 32 二刀流 Swing.wav;炎斬撃 Breath.wav

プロトタイプデモンベイン
レムリア・インパクト(準備), 粒子集中 緑;煙 黒;魔法陣 緑 背面
レムリア・インパクト(攻撃), スーパーパンチ 緑
レムリア・インパクト(命中), スーパーパンチ 緑 Crash.wav;3;レムリア・インパクト
レムリア・インパクト(とどめ), レムリア・インパクト 結界なし

超鬼械神デモンベイン
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
呪文螺旋・神銃形態(準備), 射撃武器粒子集中召喚 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 Breath.wav 赤;2;射撃武器 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64
呪文螺旋・神銃形態(攻撃), 手持ち発射 "Weapon\EFFECT_AntiMaterialRifle01.bmp" 64 対象ユニットＩＤ "Impact\EFFECT_ImpactBall(Orange)02.bmp" 28 Shock(Low).wav
呪文螺旋・神銃形態(命中), オーラ 橙 Explode(Long).wav

邪神ズアウィア
触手(攻撃), 多触手 赤;多触手 赤
触手(命中), 多触手 赤;多触手 赤;@戦闘アニメ_タックル攻撃 Shock(Low).wav;1;噛み付き Crash.wav

ダンウィッチの怪異
触腕(準備), -
触腕(攻撃), 連斬撃
触腕(命中), 連打 Whip.wav
触腕(クリティカル), @戦闘アニメ_スピンアタック攻撃;@戦闘アニメ_超打命中 Crash.wav

#### 防禦陣

汎用
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(White)01.bmp" 48 BeamCoat.wav 発光 防禦陣

鬼械神デモンベイン(前期)
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
格闘(攻撃), 振る武器突撃 -.bmp 32 Whiz.wav
格闘(命中), @戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav;1;@戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav
格闘(クリティカル), @戦闘アニメ_スーパーパンチ攻撃 黄 Shock(Low).wav;1;@戦闘アニメ_超打命中 Crash.wav

鬼械神デモンベイン(中期)
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
格闘(攻撃), 振る武器突撃 -.bmp 32 Whiz.wav
格闘(命中), @戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav;1;@戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav
格闘(クリティカル), @戦闘アニメ_スーパーパンチ攻撃 黄 Shock(Low).wav;1;@戦闘アニメ_超打命中 Crash.wav

鬼械神デモンベイン
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
格闘(攻撃), 振る武器突撃 -.bmp 32 Whiz.wav
格闘(命中), @戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav;1;@戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav
格闘(クリティカル), @戦闘アニメ_スーパーパンチ攻撃 黄 Shock(Low).wav;1;@戦闘アニメ_超打命中 Crash.wav

鬼械神リベル・レギス
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(Red)01.bmp" 48 BeamCoat.wav 発光 防禦陣

鬼械神リベル・レギス(開放)
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(Red)01.bmp" 48 BeamCoat.wav 発光 防禦陣
輝くトラペゾヘドロン(攻撃), 回転斬撃;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Swing.wav;なぎ払い;振り下ろし;なぎ払い;1;@戦闘アニメ_振る武器準備 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光 Slash(4).wav;2;@戦闘アニメ_オーラ上昇準備 黄 Flash.wav;2;振る武器突撃 "Weapon\EFFECT_DMD_ShiningTrapezohedron.bmp" 56 発光

鬼械神クラーケン
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(LightBlue)01.bmp"  48 BeamCoat.wav 発光 防禦陣

鬼械神ロードビヤーキー
攻撃無効化(防禦陣), 防御連続描画 防禦陣 "Common\EFFECT_Tornado[01-04].bmp" 48 - 3 前面 保持 Storm.wav

鬼械神サイクラノーシュ
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(Blue)01.bmp" 48 Roar.wav 発光 防禦陣

鬼械神デモンベイン・トゥーソード(前期)
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
格闘(攻撃), 振る武器突撃 -.bmp 32 Whiz.wav
格闘(命中), @戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav;1;@戦闘アニメ_キック攻撃 Punch(Metal).wav;強打 -.wav
格闘(クリティカル), @戦闘アニメ_浴びせ蹴り攻撃 Swing(2).wav;@戦闘アニメ_唐竹割り命中 Shock(Low).wav;@戦闘アニメ_地面衝撃命中 -.wav

鬼械神デモンベイン・トゥーソード
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣
格闘(攻撃), 振る武器突撃 -.bmp 32 Whiz.wav
格闘(命中), @戦闘アニメ_打撃突撃攻撃 -.wav;@戦闘アニメ_打突攻撃 Punch(Metal).wav;強打 -.wav;1;@戦闘アニメ_キック攻撃 Punch(Metal).wav;強打 -.wav
格闘(クリティカル), @戦闘アニメ_浴びせ蹴り攻撃 Swing(2).wav;@戦闘アニメ_唐竹割り命中 Shock(Low).wav;@戦闘アニメ_地面衝撃命中 -.wav

鬼械神アンブロシウス
攻撃無効化(防禦陣), 防御連続描画 防禦陣 "Common\EFFECT_Tornado[01-04].bmp" 48 - 3 前面 保持 Storm.wav

鬼械神アイオーン
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣

鬼械神アイオーン(エドガー)
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣

万能自走蒸気機関ゴリアテ
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_Pentagram(White)08.bmp" 32 BeamCoat.wav 発光 防禦陣

超鬼械神リベル・レギス
攻撃無効化(防禦陣), シールド防御 "Magic\EFFECT_MagicEmblem(Red)01.bmp" 48 BeamCoat.wav 発光 防禦陣

